fdc_id,data_type,description,food_category_id,publication_date,fermented_food_serving_size,collagen,processing_score
171290,sr_legacy_food,American cheese,1,2019-04-01,,,10
172175,sr_legacy_food,Blue cheese,1,2019-04-01,,,80
172176,sr_legacy_food,Brick cheese,1,2019-04-01,,,80
172177,sr_legacy_food,Brie,1,2019-04-01,,,80
173412,sr_legacy_food,"Butter oil,",1,2019-04-01,,,80
173410,sr_legacy_food,"Butter, salted",1,2019-04-01,,,80
173430,sr_legacy_food,"Butter, unsalted",1,2019-04-01,,,80
173411,sr_legacy_food,"Butter, whipped",1,2019-04-01,,,70
172225,sr_legacy_food,Buttermilk,1,2019-04-01,,,80
170874,sr_legacy_food,"Buttermilk, low-fat",1,2019-04-01,,,70
167697,sr_legacy_food,"Buttermilk, reduced-fat",1,2019-04-01,,,70
172178,sr_legacy_food,Camembert,1,2019-04-01,,,80
173413,sr_legacy_food,Caraway cheese,1,2019-04-01,,,80
171291,sr_legacy_food,"Cheese food, American",1,2019-04-01,,,10
171253,sr_legacy_food,"Cheese food, Swiss",1,2019-04-01,,,10
171289,sr_legacy_food,"Cheese product, American",1,2019-04-01,,,10
173455,sr_legacy_food,"Cheese product, American, reduced fat",1,2019-04-01,,,10
172200,sr_legacy_food,Cheese sauce,1,2019-04-01,,,40
171254,sr_legacy_food,"Cheese spread, American",1,2019-04-01,,,10
170896,sr_legacy_food,"Cheese spread, American/Cheddar, reduced fat",1,2019-04-01,,,10
169081,sr_legacy_food,"Cheese spread, cream cheese",1,2019-04-01,,,40
172198,sr_legacy_food,"Cheese substitute, mozzarella",1,2019-04-01,,,10
169901,sr_legacy_food,"Cheese, american cheddar, imitation",1,2019-04-01,,,10
170863,sr_legacy_food,"Cheese, American, nonfat or fat free",1,2019-04-01,,,20
173414,sr_legacy_food,"Cheese, cheddar",1,2019-04-01,,,80
171295,sr_legacy_food,"Cheese, cheddar, nonfat or fat free",1,2019-04-01,,,10
171292,sr_legacy_food,"Cheese, cheddar, reduced fat",1,2019-04-01,,,10
