id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight,data_points,footnote,min_year_acquired
81553,167516,1,1.0,9999,,"waffle, square",39.0,10.0,,
81554,167516,2,1.0,9999,,"waffle, round",38.0,40.0,,
81567,167524,1,2.0,9999,,waffles,70.0,1.0,,
81568,167525,1,1.0,9999,,piece,12.3,15.0,,
81569,167525,2,3.0,9999,,"pieces (mean serving weight, aggregated over brands)",37.0,2.0,,
81581,167532,1,1.0,9999,,slice,28.0,2.0,,
81582,167533,1,1.0,9999,,bagel,98.0,1.0,,
81586,167536,1,1.0,9999,,oz,28.35,,,
81587,167536,2,1.0,9999,,"piece, large",20.0,,,
81588,167536,3,1.0,9999,,oz,28.35,5.0,,
81589,167537,1,1.0,9999,,oz,28.0,22.0,,
81590,167537,2,1.0,9999,,oz,28.35,,,
81591,167537,3,1.0,9999,,bag (7 oz),198.0,,,
81609,167546,1,1.0,9999,,serving,40.0,,,
81624,167555,1,1.0,9999,,oz,28.35,,,
81625,167555,2,10.0,9999,,twists,60.0,,,
81630,167558,1,1.0,9999,,oz,28.35,1.0,,
81631,167558,2,1.0,9999,,bag,213.0,1.0,,
81635,167561,1,1.0,9999,,cup,150.0,,,
81636,167561,2,1.0,9999,,oz,28.35,,,
81637,167561,3,1.5,9999,,oz,42.0,,,
81638,167562,1,1.0,9999,,package 1.76 oz,49.0,1.0,,
81639,167562,2,1.0,9999,,bar snack size,19.0,1.0,,
81653,167567,1,1.0,9999,,oz,28.35,,,
81654,167568,1,1.0,9999,,oz square Bakers,29.0,18.0,,
81655,167568,2,1.0,9999,,"cup, grated",132.0,,,
81656,167568,3,0.5,9999,,oz Hersheys,14.2,,,
81660,167571,1,1.0,9999,,bar (3 oz),85.0,,,
81661,167571,2,1.0,9999,,tbsp,14.0,1.0,,
81662,167571,3,1.0,9999,,cup chips,170.0,,,
81667,167575,1,1.0,9999,,serving 1/2 cup,66.0,3.0,,
81672,167579,1,1.0,9999,,oz,28.35,,,
81684,167587,1,1.0,9999,,"bar, miniature",7.0,,,
81685,167587,2,1.0,9999,,bar (1.55 oz),44.0,,,
81686,167587,3,1.0,9999,,cup chips,168.0,,,
81760,167689,1,1.0,9999,,serving 1.63 oz singles bag,46.0,1.0,,
81761,167689,2,1.0,9999,,cup,203.0,,,
81762,167689,3,1.0,9999,,piece,2.2,,,
81772,167694,1,1.0,9999,,"cup, cooked",130.0,,,
81773,167694,2,1.0,9999,,oz,28.0,,,
81774,167694,3,1.0,9999,,"oz cooked, yield",21.0,,,
81775,167694,4,1.0,9999,,"patty, cooked",25.0,,,
81780,167697,1,1.0,9999,,cup,245.0,,,
81781,167697,2,1.0,9999,,fl oz,30.6,,,
81782,167698,1,2.0,9999,,links 1 NLEA serving,45.0,2.0,,
81783,167698,2,3.0,9999,,links 1 NLEA serving,60.0,1.0,,
81791,167702,1,1.0,9999,,tbsp,13.6,,,
81792,167702,2,1.0,9999,,cup,218.0,,,
81803,167709,1,3.0,9999,,"oz with bone, cooked (yield after bone removed)",85.0,,,
81804,167709,2,1.0,9999,,"cubic inch, boneless",17.0,,,
81805,167710,1,3.0,9999,,"oz with bone, cooked (yield after bone removed)",85.0,,,
81806,167710,2,1.0,9999,,"cubic inch, boneless",17.0,,,
81811,167713,1,3.0,9999,,oz,85.0,,,
81812,167713,2,1.0,9999,,"medium slice (approx 3"" x 2"" x 1/4"")",28.0,,,
81813,167713,3,1.0,9999,,"thick slice (approx 3"" x 2"" x 3/8"")",42.0,,,
81814,167715,1,1.25,9999,,cup (1 NLEA serving),59.0,,,
81817,167717,1,1.0,9999,,tsp,6.0,,,
81829,167722,1,1.0,9999,,cup,262.0,,,
81831,167724,1,1.0,9999,,cup,21.0,,,
81861,167735,1,1.0,9999,,"cup, diced",132.0,,,
81862,167735,2,1.0,9999,,"cup, shredded",113.0,,,
81863,167735,3,1.0,9999,,cubic inch,18.0,,,
81864,167735,4,1.0,9999,,slice (1 oz),28.0,,,
81878,167742,1,3.0,9999,,oz,85.0,,,
81879,167743,1,1.0,9999,,serving,21.0,,,
81880,167744,1,3.0,9999,,oz,85.0,,,
81882,167746,1,1.0,9999,,"cup, sections",212.0,,,
81883,167746,2,1.0,9999,,"fruit (2-1/8"" dia)",58.0,,,
81884,167746,3,1.0,9999,,"fruit (2-3/8"" dia)",84.0,,,
81885,167746,4,1.0,9999,,"wedge or slice (1/8 of one 2-1/8"" dia lemon)",7.0,,,
81886,167746,5,1.0,9999,,NLEA serving,58.0,,,
81887,167747,1,1.0,9999,,cup,244.0,,,
81888,167747,2,1.0,9999,,fl oz,30.5,,,
81889,167747,3,1.0,9999,,lemon yields,48.0,70.0,,
81890,167747,4,1.0,9999,,wedge yields,5.9,,,
81895,167749,1,1.0,9999,,tbsp,6.0,,,
81896,167749,2,1.0,9999,,tsp,2.0,,,
81897,167750,1,1.0,9999,,cup,149.0,,,
81898,167750,2,1.0,9999,,fruit without refuse,103.0,,,
81899,167751,1,1.0,9999,,"cup, pitted",248.0,,,
81901,167753,1,1.0,9999,,cup,256.0,,,
81902,167753,2,1.0,9999,,fl oz,32.0,,,
81903,167754,1,1.0,9999,,"cup, sections",190.0,,,
81904,167754,2,1.0,9999,,fruit without refuse,609.0,,,
81905,167755,1,1.0,9999,,cup,123.0,,,
81906,167755,2,1.0,9999,,"pint as purchased, yields",312.0,,,
81907,167755,3,10.0,9999,,raspberries,19.0,,,
81911,167758,1,1.0,9999,,"cup, diced",122.0,,,
81912,167758,2,1.0,9999,,stalk,51.0,,,
81913,167759,1,1.0,9999,,"cup, pulp",241.0,,,
81914,167759,2,1.0,9999,,sapodilla,170.0,,,
81915,167760,1,1.0,9999,,"cup 1"" pieces",175.0,3.0,,
81916,167760,2,1.0,9999,,fruit without refuse,558.0,9.0,,
81917,167761,1,1.0,9999,,"cup, pulp",225.0,,,
81918,167761,2,1.0,9999,,"fruit (7"" x 5-1/4"" dia)",625.0,,,
81919,167762,1,1.0,9999,,"cup, halves",152.0,,,
81920,167762,2,1.0,9999,,"cup, pureed",232.0,,,
81921,167762,3,1.0,9999,,"cup, sliced",166.0,,,
81922,167762,4,1.0,9999,,"cup, whole",144.0,,,
81923,167762,5,1.0,9999,,"extra large (1-5/8"" dia)",27.0,,,
81924,167762,6,1.0,9999,,"large (1-3/8"" dia)",18.0,,,
81925,167762,7,1.0,9999,,"medium (1-1/4"" dia)",12.0,,,
81926,167762,8,1.0,9999,,"pint as purchased, yields",357.0,,,
81927,167762,9,1.0,9999,,"small (1"" dia)",7.0,,,
81928,167762,10,1.0,9999,,NLEA serving,147.0,,,
81929,167763,1,1.0,9999,,"cup, pulp",120.0,,,
81930,167763,2,1.0,9999,,"fruit (3"" x 1"")",2.0,,,
81932,167765,1,1.0,9999,,"cup, balls",154.0,,,
